"","year","nGDP","rGDP","rGDP_pc","rGDP_USD","deflator","cons","rcons","cons_GDP","inv","inv_GDP","finv","finv_GDP","exports","exports_GDP","imports","imports_GDP","CA","CA_GDP","USDfx","REER","govexp","govexp_GDP","govrev","govrev_GDP","govtax","govtax_GDP","govdef","govdef_GDP","govdebt","govdebt_GDP","HPI","CPI","infl","pop","unemp","strate","ltrate","cbrate","M0","M1","M2","SovDebtCrisis","CurrencyCrisis","BankingCrisis"
"30744",1995,4059,11131,4450.6201,12341.777,36.465725,3492.5769,8724.5986,88.81369,635.55823,15.658,558,14.189446,1403.009,34.565388,1595.504,40.572506,-12.13641,-0.29899999,0.75073099,70.292114,1464.5795,20.984106,1246.566,18.151302,551.84198,14.031786,-111.44875,-2.7457192,650.39752,16.02359,NA,42.734653,24.975935,2.5009999,6.9510002,6.8200002,NA,NA,273.61899,353.78201,548.84399,0,0,1
"30745",1996,4682,11419,4623.0767,12661.104,41.001839,4078.2461,8925.9658,89.741028,890.56323,19.021,824.20001,18.136209,1892.328,40.417088,2314.1079,50.921505,-219.21124,-4.6820002,0.78365397,69.857574,1592.3663,19.742546,1328.4395,16.855539,613.91901,13.508636,-131.15425,-2.8012443,675.41541,14.425789,NA,50.255501,17.610466,2.47,20.711,5.0883331,NA,NA,336.65701,425.651,656.15198,0,0,0
"30746",1997,5396,12428,5083.0269,13779.858,43.418087,4616.3032,9362.4287,87.955032,1136.0739,21.054001,922,17.566923,2142.25,39.700703,2629.9919,50.109585,-285.17859,-5.2849998,0.82660401,76.101112,1955.4941,20.992664,1926.042,21.021244,843.81598,16.076975,1.4980043,0.027761385,532.39862,9.8665419,NA,54.313377,8.4473906,2.4449999,15.167,4.9566665,NA,NA,441.741,567.27197,898.83301,0,0,0
"30747",1998,6015,13216,5458.9014,14653.573,45.513016,5052.3428,9711.1064,86.315071,1542.6069,25.646,1407.4,24.044146,2359.937,39.2342,3086.5481,52.731102,-544.95905,-9.0600004,0.83901799,80.152802,2229.8809,37.071999,2191.3848,36.431999,1000.304,17.089212,-38.556149,-0.64099997,574.5528,9.552,NA,56.645687,4.644208,2.421,13.958,8.3883333,NA,NA,471.453,601.27197,958.86798,0,0,0
"30748",1999,6273,13580,5660.6919,15057.167,46.192932,5337.0928,9962.082,87.520256,1385.3921,22.084999,1396.5,22.900576,2197.2009,35.026318,2812.4409,46.119781,-452.91058,-7.2199998,0.835581,88.609276,2465.4773,39.303001,2249.4978,35.860001,999.32001,16.387072,-215.9794,-3.4430001,904.62927,14.421,NA,57.843044,2.364821,2.3989999,14.067,8.4499998,NA,1.75,526.27899,639.33698,1038.068,0,0,0
"30749",2000,6868,14351,6024.769,15912.032,47.857292,5573.1191,10047.048,83.2062,1682.1792,24.493,1687.8,25.198566,2526.564,36.787479,3073.7439,45.890743,-323.00204,-4.7030001,0.86248797,93.663162,2480.9277,36.123001,2309.1589,33.622002,999.95801,14.92983,-171.83737,-2.5020001,1010.9009,14.719,NA,59.366356,2.6542521,2.382,14.342,5.4025002,NA,3.25,566.71698,764.57397,1318.766,0,0,0
"30750",2001,7471,15258,6484.4883,16917.691,48.964478,6021.313,10565.797,82.283775,2081.3459,27.858999,1988.2,27.169739,2839.021,38.000549,3613.53,49.380409,-560.99738,-7.5089998,0.89002103,91.546906,2562.7771,34.303001,2414.4778,32.318001,1084.814,14.82433,-148.29935,-1.985,1304.4365,17.459999,NA,60.866009,2.4870412,2.3529999,13.475,6.8616667,7.5733333,3.0625,641.87701,863.59399,1580.022,0,0,0
"30751",2002,8406,16340,7040.0688,18117.387,51.444309,6658.3999,11235.533,81.844307,2340.9028,27.848,1977,24.301203,3071.6489,36.541149,3922.981,48.22084,-543.95227,-6.4710002,0.87565202,89.129387,2876.9536,34.224998,2666.3833,31.719999,1179.401,14.497136,-210.57031,-2.5050001,1251.4852,14.888,NA,62.061211,1.9388818,2.3210001,12.492,4.3541665,5.4083333,2.125,759.867,1047.4969,1894.6899,0,0,0
"30752",2003,9572,17716,7705.959,19643.063,54.030254,7506.627,12028.534,82.104507,2851.4031,29.789,2320.1001,25.376253,3450.2959,36.045715,4648.5132,50.84359,-744.03156,-7.7729998,0.80667198,85.026787,3148.2307,32.889999,2995.8445,31.298,1359.145,14.86525,-152.38625,-1.592,1370.5189,14.318,NA,63.88575,2.9426444,2.299,11.642,3.835,4.9008331,1.125,807,1592,2314,0,0,0
"30753",2004,11097,19184,8425.1211,21270.744,57.845078,8674.8633,13041.703,81.616051,3670.4436,33.076,3129,29.438606,4317.9941,38.911366,6017.0151,56.610115,-1358.0509,-12.238,0.76138997,85.76561,3698.9629,33.333,3588.8809,32.341,1585.491,14.916878,-110.08224,-0.99199998,1561.7919,14.074,NA,67.838196,6.1923819,2.277,11.742,4.2318749,4.8575001,1,957,2000,2931,0,0,0
